PatAge MatAge Mutations		
21.75 19.25 48
19.66667 18.41667 39
33.83333 34.58333 67
34.58333 31.41667 60
31.75 32.33333 70
21.91667 22.75 50
30.41667 24.33333 69
38.33333 30.83333 82
25.5 22.41667 50
30.91667 34 61
32.08333 26 66
40 39.08333 106
30.16667 27.5 55
35.16667 32.66667 70
25.33333 23.58333 57
32.08333 33.5 71
34.16667 32.91667 72
29.25 28.75 69
19.25 23.25 49
39.66667 35.58333 67
26.33333 26.08333 57
30.58333 29.41667 57
40.25 37.41667 84
36.75 33.91667 79
23.91667 21.75 61
25.83333 20.16667 37
25.33333 26.66667 48
37.25 29.5 67
36 25.58333 70
28.5 27.25 68
24.41667 22.75 64
28.75 26.25 54
33.33333 32.41667 65
23.58333 19.91667 54
29.83333 29.75 57
31.66667 29.66667 65
28.66667 24.83333 67
20.58333 18.58333 35
24 24.91667 55
30.16667 24.58333 76
28.91667 27.75 71
22.66667 19.75 53
38.33333 33.33333 85
32.25 30.58333 63
36.41667 32.83333 71
32.41667 33.58333 61
28.91667 22.16667 53
35.91667 33.75 75
33.33333 22.08333 72
28.5 26.91667 69
30.83333 24.83333 83
18 20.16667 41
33.16667 26.66667 68
32.33333 30.75 60
25.66667 23.66667 54
36.16667 32.16667 80
29.5 26.08333 54
22.66667 25.16667 43
20.16667 23.08333 50
27.08333 29.66667 51
33.33333 34.58333 65
28.5 17.75 52
29.08333 20.41667 42
26 23.91667 48
25.58333 21.91667 58
25 22.08333 62
32.16667 31.5 71
28.16667 30.33333 69
33.75 31.16667 77
32.58333 26.91667 72
16.08333 16.33333 39
26.08333 22.33333 50
46 37.58333 116
34.25 34.25 74
28.08333 27.75 63
27.41667 23.16667 69
30 24.08333 83
26.5 26.16667 68
